Timestamp,Please enter an identifier (ex. computing id),Select your age range,Please indicate your race/ethnicity,Please indicate your gender,Please indicate your income level,Please indicate  the highest level of education you have achieved,Please indicate your household size,Please indicate your height (in inches),Please indicate your weight (in lbs),Please check off any food allergies you have ,Please indicate any special dietary restrictions you have ,Please indicate your preference for: Oranges,Please indicate your preference for: Apples,Please indicate your preference for: Watermelon,Please indicate your preference for: Bananas,Please indicate your preference for: Eggplant,Please indicate your preference for: Tomatoes,Please indicate your preference for: Potatoes,Please indicate your preference for: Bread,Please indicate your preference for: Oats,Please indicate your preference for: Rice,Please indicate your preference for: Fish,Please indicate your preference for: Eggs,Please indicate your preference for: Chicken,Please indicate your preference for: Olive Oil,Please indicate your preference for: Soy Bean Paste,Please indicate your preference for: Beef,Please indicate your preference for: Milk,"Please indicate your preference for: Yogurt (low fat, plain)",Please indicate your preference for: Cheese Balls,Email Address
11/18/2021 14:34:27,,20-65,Asian,Male,$38.3k or more,Masters Degree,1,70,140,"Fish, Shellfish, Red meat",Vegetarian,5,5,5,5,5,5,5,,5,5,1,5,5,1,5,1,5,5,5,
11/21/2021 10:45:21,Anonymous Narwhal,20-65,White,Male,$38.3k or more,Masters Degree,2,70,157,No allergies,No restriction,5,3,4,3,3,4,5,4,3,4,4,3,3,5,3,3,3,4,2,
11/21/2021 15:54:47,ak3gj,20-65,Black or African American,Male,$23.6K or less,Bachelor Degree,1,70,170,No allergies,No restriction,,,,1,,,4,4,2,5,,5,,3,1,,4,4,,
11/21/2021 19:18:55,Gal Gadot,20-65,Asian,Female,$23.6k-38.3k,Bachelor Degree,1,63,121,No allergies,Halal,3,4,5,3,3,4,3,5,,5,1,5,5,1,,5,5,,,
11/22/2021 15:15:51,aj6eb,20-65,White,Male,$38.3k or more,Bachelor Degree,2,68,207,No allergies,No restriction,4,4,5,1,2,3,5,5,3,5,1,4,4,3,2,5,4,3,4,
11/23/2021 13:34:25,csk6snj,20-65,White,Female,$38.3k or more,Bachelor Degree,1,69,150,No allergies,No restriction,4,5,5,4,2,2,2,5,4,5,5,1,5,5,1,5,2,2,4,
11/23/2021 14:02:38,afv9x,20-65,White,Male,$23.6k-38.3k,Bachelor Degree,2,66,161,No allergies,No restriction,3,5,5,5,2,5,5,4,5,4,5,4,5,5,1,3,4,5,3,
11/23/2021 14:03:24,pex7ps,20-65,Asian,Male,$38.3k or more,Masters Degree,1,69,160,No allergies,No restriction,5,4,4,3,1,3,5,3,3,5,5,4,5,3,4,4,2,4,3,
11/23/2021 14:04:45,zqz8ae,20-65,Asian,Male,$23.6K or less,Graduate Degree,3,69,170,No allergies,No restriction,4,3,4,5,4,4,4,3,5,5,5,5,2,3,2,5,4,4,1,
11/23/2021 14:05:24,znp3ev,20-65,Asian,Male,$23.6K or less,Bachelor Degree,3,75,202,No allergies,No restriction,3,4,5,3,3,2,4,3,3,4,4,4,4,4,2,4,5,2,4,
11/23/2021 14:05:57,qwp4pk,20-65,White,Male,$38.3k or more,Masters Degree,3,72,170,No allergies,No restriction,4,4,3,4,3,5,4,5,3,3,3,4,5,4,2,4,3,3,3,
11/23/2021 14:07:36,nm2fs,20-65,White,Female,$23.6k-38.3k,Masters Degree,2,67.32,135,No allergies,No restriction,4,4,3,4,4,5,5,5,4,5,2,5,5,3,1,5,4,5,4,
11/23/2021 15:19:46,blacklodge,20-65,Asian,Male,$23.6K or less,Bachelor Degree,1,68,,No allergies,No restriction,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,
11/28/2021 23:58:37,ae3xd,20-65,White,Male,$23.6k-38.3k,Bachelor Degree,2,77,200,No allergies,Beef,4,5,1,1,1,2,5,5,2,3,4,4,5,3,2,5,4,2,3,
11/30/2021 14:10:25,Isobel Regina,20-65,Asian,Male,$23.6K or less,High School /GED,3,71,155,Peanuts,Vegetarian,4,3,4,5,3,4,4,4,4,4,4,5,3,5,3,3,2,4,1,
11/30/2021 14:10:29,kem5en,20-65,White,Female,$23.6K or less,Bachelor Degree,1,66,,Dairy,Red meat,3,4,4,3,2,3,5,5,4,4,4,5,4,5,1,1,1,1,1,
11/30/2021 14:19:46,Broccoli,,White,Female,,,2,62,115,No allergies,No restriction,1,4,2,3,4,4,2,4,3,4,4,4,4,4,2,4,4,4,2,
