,,Anonymous Narwhal,ak3gj,gal gadget,aj6eb,csk6snj,afv9x,pex7ps,zqz8ae,znp3ev,qwp4pk,nm2fs,blacklodge,ae3xd,Isobel Regina,kem5en,Broccoli
,1.0000000000000002,0.49151140983174324,0.29510491014029155,0.33738894998839164,0.4781355898590399,0.3945218643425313,0.4686890725579952,0.5217985159087034,0.5060605498707262,0.49744326286612445,0.466212496222522,0.454684086239394,0.5243880060171429,0.34089274911977446,0.5097353575743514,0.24068328326386373,0.4215403936676161
Anonymous Narwhal,0.49151140983174324,0.9999999999999999,0.6320340758549801,0.55622701003262,0.9450748135135274,0.8487027362186221,0.9509603488045374,0.8938734194607375,0.8938041653968979,0.881528275506222,0.9670613263125151,0.8799416542742493,0.8798507106166839,0.6898856000705387,0.5801434883496077,0.49172005980869177,0.8714584818816531
ak3gj,0.29510491014029155,0.6320340758549801,1.0000000000000002,0.3448377676923408,0.6532994853799715,0.5271570685831327,0.6211787741925392,0.62428138435642,0.5974501331076243,0.5994229149356454,0.6006761619813072,0.5638860690663461,0.6116115006756512,0.42735942570866703,0.3581746856384151,0.25309095697526296,0.5517505210173208
gal gadget,0.33738894998839164,0.55622701003262,0.3448377676923408,1.0,0.5896112294995632,0.6330523875978452,0.5736848574299044,0.6288139596656276,0.6147899927958185,0.6161905134713056,0.5607490721103262,0.6781968819196625,0.6326855582193168,0.3987142903319137,0.3771417334962047,0.3709343153365823,0.6305816447073624
aj6eb,0.4781355898590399,0.9450748135135274,0.6532994853799715,0.5896112294995632,0.9999999999999998,0.8469500167407356,0.9241959386574027,0.8625843602873878,0.8481205860354925,0.8919380847216156,0.9477347479161072,0.8856877426479144,0.8665425931934624,0.6884010637870848,0.5461933977395846,0.45625516030305596,0.8318656674965299
csk6snj,0.3945218643425313,0.8487027362186221,0.5271570685831327,0.6330523875978452,0.8469500167407356,0.9999999999999998,0.8643957200653357,0.7974495891992212,0.7512019870559677,0.7785266262587413,0.8343406675900262,0.9136096435147842,0.7738205040941488,0.5948999826738535,0.43769978194363623,0.5481334911004868,0.8963881022276842
afv9x,0.4686890725579952,0.9509603488045374,0.6211787741925392,0.5736848574299044,0.9241959386574027,0.8643957200653357,1.0000000000000002,0.8615999936587195,0.8828145800972222,0.8777607012781024,0.9501905727384439,0.8943807166290693,0.8377825488329799,0.684628270357826,0.5603641033501972,0.4913718026136612,0.8526993842047446
pex7ps,0.5217985159087034,0.8938734194607375,0.62428138435642,0.6288139596656276,0.8625843602873878,0.7974495891992212,0.8615999936587195,0.9999999999999998,0.8974657352943722,0.9040531768931711,0.8502888145486175,0.7893042732198762,0.9636746295191231,0.6260578553771077,0.5665884921977965,0.4357697194734813,0.7721248552301068
zqz8ae,0.5060605498707262,0.8938041653968979,0.5974501331076243,0.6147899927958185,0.8481205860354925,0.7512019870559677,0.8828145800972222,0.8974657352943722,0.9999999999999996,0.9524474314066669,0.8984316419394734,0.8176767490611255,0.9067562901211093,0.594169584590939,0.6385843325903934,0.4201550286029005,0.8048877265098344
znp3ev,0.49744326286612445,0.881528275506222,0.5994229149356454,0.6161905134713056,0.8919380847216156,0.7785266262587413,0.8777607012781024,0.9040531768931711,0.9524474314066669,1.0,0.9028730332554589,0.8072732469977562,0.9265245229203911,0.6365828912516781,0.6145521883238632,0.4072354512566114,0.7887279503345461
qwp4pk,0.466212496222522,0.9670613263125151,0.6006761619813072,0.5607490721103262,0.9477347479161072,0.8343406675900262,0.9501905727384439,0.8502888145486175,0.8984316419394734,0.9028730332554589,0.9999999999999998,0.898215380189938,0.8470016630831549,0.6923931251164752,0.5801627576245362,0.4730442489196649,0.8760642744584041
nm2fs,0.454684086239394,0.8799416542742493,0.5638860690663461,0.6781968819196625,0.8856877426479144,0.9136096435147842,0.8943807166290693,0.7893042732198762,0.8176767490611255,0.8072732469977562,0.898215380189938,1.0000000000000002,0.7842772693702978,0.6187968597457101,0.5047259345565058,0.5218530044399449,0.941023928607889
blacklodge,0.5243880060171429,0.8798507106166839,0.6116115006756512,0.6326855582193168,0.8665425931934624,0.7738205040941488,0.8377825488329799,0.9636746295191231,0.9067562901211093,0.9265245229203911,0.8470016630831549,0.7842772693702978,1.0000000000000002,0.5882728816841548,0.5664901101705229,0.40161868844681387,0.7818921805825518
ae3xd,0.34089274911977446,0.6898856000705387,0.42735942570866703,0.3987142903319137,0.6884010637870848,0.5948999826738535,0.684628270357826,0.6260578553771077,0.594169584590939,0.6365828912516781,0.6923931251164752,0.6187968597457101,0.5882728816841548,1.0000000000000002,0.40453519780499836,0.3654856441820397,0.6020259062664888
Isobel Regina,0.5097353575743514,0.5801434883496077,0.3581746856384151,0.3771417334962047,0.5461933977395846,0.43769978194363623,0.5603641033501972,0.5665884921977965,0.6385843325903934,0.6145521883238632,0.5801627576245362,0.5047259345565058,0.5664901101705229,0.40453519780499836,0.9999999999999998,0.30373521436676537,0.4809203379201389
kem5en,0.24068328326386373,0.49172005980869177,0.25309095697526296,0.3709343153365823,0.45625516030305596,0.5481334911004868,0.4913718026136612,0.4357697194734813,0.4201550286029005,0.4072354512566114,0.4730442489196649,0.5218530044399449,0.40161868844681387,0.3654856441820397,0.30373521436676537,0.9999999999999997,0.52621603262597
Broccoli,0.4215403936676161,0.8714584818816531,0.5517505210173208,0.6305816447073624,0.8318656674965299,0.8963881022276842,0.8526993842047446,0.7721248552301068,0.8048877265098344,0.7887279503345461,0.8760642744584041,0.941023928607889,0.7818921805825518,0.6020259062664888,0.4809203379201389,0.52621603262597,1.0000000000000002
