min_ratings,n_factors,n_epochs,trainset,average_error
1,2,3,"('random', 0.9)",1.3309983044849591
1,2,3,"('random', 0.8)",1.4056744300768198
1,2,3,"('random', 0.7)",1.3783634033136558
1,2,3,"('random', 0.6)",1.3580067320336389
1,2,3,"('rows', 2)",1.3063241715944673
1,2,3,"('rows', 4)",1.2153425210418651
1,2,3,"('rows', 6)",1.387988705037151
1,2,3,"('cols', 2)",1.2196845582411333
1,2,3,"('cols', 4)",1.3190943672585014
1,2,3,"('cols', 6)",1.3219272298191838
1,2,4,"('random', 0.9)",1.3292349500234357
1,2,4,"('random', 0.8)",1.4018186693160894
1,2,4,"('random', 0.7)",1.3793978354854348
1,2,4,"('random', 0.6)",1.3594155921493234
1,2,4,"('rows', 2)",1.3037155681087242
1,2,4,"('rows', 4)",1.2102309745206437
1,2,4,"('rows', 6)",1.3852705745461946
1,2,4,"('cols', 2)",1.2211431429161326
1,2,4,"('cols', 4)",1.322778207663844
1,2,4,"('cols', 6)",1.322805051946344
1,2,5,"('random', 0.9)",1.329893871547466
1,2,5,"('random', 0.8)",1.4009634946623857
1,2,5,"('random', 0.7)",1.382304124833837
1,2,5,"('random', 0.6)",1.3628400023012135
1,2,5,"('rows', 2)",1.3030370108416365
1,2,5,"('rows', 4)",1.2076369802147822
1,2,5,"('rows', 6)",1.3845053822976279
1,2,5,"('cols', 2)",1.2231364562121598
1,2,5,"('cols', 4)",1.3268705981243683
1,2,5,"('cols', 6)",1.3246169195581932
1,2,6,"('random', 0.9)",1.3316692843700944
1,2,6,"('random', 0.8)",1.4021894636967052
1,2,6,"('random', 0.7)",1.3862376538115482
1,2,6,"('random', 0.6)",1.3674246461476427
1,2,6,"('rows', 2)",1.303388763190231
1,2,6,"('rows', 4)",1.2065785743798194
1,2,6,"('rows', 6)",1.3849811583959013
1,2,6,"('cols', 2)",1.2251477815609249
1,2,6,"('cols', 4)",1.330937866196775
1,2,6,"('cols', 6)",1.3268803442200543
1,2,7,"('random', 0.9)",1.333806918707441
1,2,7,"('random', 0.8)",1.4049951098193947
1,2,7,"('random', 0.7)",1.390689724700666
1,2,7,"('random', 0.6)",1.3725731780450616
1,2,7,"('rows', 2)",1.3042328299720252
1,2,7,"('rows', 4)",1.2064048785990302
1,2,7,"('rows', 6)",1.3861971811376488
1,2,7,"('cols', 2)",1.22692040281353
1,2,7,"('cols', 4)",1.3347559445462254
1,2,7,"('cols', 6)",1.3292896329480237
1,2,8,"('random', 0.9)",1.3359548431224615
1,2,8,"('random', 0.8)",1.4092168536959273
1,2,8,"('random', 0.7)",1.3954110459830977
1,2,8,"('random', 0.6)",1.377881582284947
1,2,8,"('rows', 2)",1.3052595813525514
1,2,8,"('rows', 4)",1.206693676412078
1,2,8,"('rows', 6)",1.3878066553450727
1,2,8,"('cols', 2)",1.2283451750088383
1,2,8,"('cols', 4)",1.3382258095810846
1,2,8,"('cols', 6)",1.331655460420607
1,2,9,"('random', 0.9)",1.3380979539159419
1,2,9,"('random', 0.8)",1.4149639439842803
1,2,9,"('random', 0.7)",1.4003733847951036
1,2,9,"('random', 0.6)",1.3830942771320824
1,2,9,"('rows', 2)",1.30630043605483
1,2,9,"('rows', 4)",1.2071777346221748
1,2,9,"('rows', 6)",1.3895736308946145
1,2,9,"('cols', 2)",1.2293937022939965
1,2,9,"('cols', 4)",1.3413199096128103
1,2,9,"('cols', 6)",1.333863808677961
1,2,10,"('random', 0.9)",1.3405493844161454
1,2,10,"('random', 0.8)",1.4225317107344262
1,2,10,"('random', 0.7)",1.4052704514275225
1,2,10,"('random', 0.6)",1.3880796754228115
1,2,10,"('rows', 2)",1.3072716170626981
1,2,10,"('rows', 4)",1.2076931533244577
1,2,10,"('rows', 6)",1.3913411529537685
1,2,10,"('cols', 2)",1.2300803850177793
1,2,10,"('cols', 4)",1.3440482198342985
1,2,10,"('cols', 6)",1.33584846365349
1,5,3,"('random', 0.9)",1.3362754968878774
1,5,3,"('random', 0.8)",1.405484920692652
1,5,3,"('random', 0.7)",1.380925260258844
1,5,3,"('random', 0.6)",1.35976245426033
1,5,3,"('rows', 2)",1.3076857407254676
1,5,3,"('rows', 4)",1.2161420509641914
