min_ratings,n_factors,n_epochs,trainset,average_error
1,2,5,"('random', 0.9)",1.329893871547466
1,2,5,"('random', 0.8)",1.4009634946623857
1,2,5,"('random', 0.7)",1.382304124833837
1,2,5,"('random', 0.6)",1.3628400023012135
1,2,5,"('rows', 2)",1.3030370108416365
1,2,5,"('rows', 4)",1.2076369802147822
1,2,5,"('rows', 6)",1.3845053822976279
1,2,5,"('cols', 2)",1.2231364562121598
1,2,5,"('cols', 4)",1.3268705981243683
1,2,5,"('cols', 6)",1.3246169195581932
1,2,10,"('random', 0.9)",1.3405493844161454
1,2,10,"('random', 0.8)",1.4225317107344262
1,2,10,"('random', 0.7)",1.4052704514275225
1,2,10,"('random', 0.6)",1.3880796754228115
1,2,10,"('rows', 2)",1.3072716170626981
1,2,10,"('rows', 4)",1.2076931533244577
1,2,10,"('rows', 6)",1.3913411529537685
1,2,10,"('cols', 2)",1.2300803850177793
1,2,10,"('cols', 4)",1.3440482198342985
1,2,10,"('cols', 6)",1.33584846365349
1,2,15,"('random', 0.9)",1.3837505612987056
1,2,15,"('random', 0.8)",1.4638768859425735
1,2,15,"('random', 0.7)",1.4433452561586597
1,2,15,"('random', 0.6)",1.4127296463254784
1,2,15,"('rows', 2)",1.310538517938168
1,2,15,"('rows', 4)",1.2087553777080842
1,2,15,"('rows', 6)",1.397849872642275
1,2,15,"('cols', 2)",1.2297350649342302
1,2,15,"('cols', 4)",1.3530482694570711
1,2,15,"('cols', 6)",1.3416756858083458
1,2,20,"('random', 0.9)",1.4718911467999964
1,2,20,"('random', 0.8)",1.5091832475591425
1,2,20,"('random', 0.7)",1.504713482596623
1,2,20,"('random', 0.6)",1.4539577111747668
1,2,20,"('rows', 2)",1.3115789177828883
1,2,20,"('rows', 4)",1.208164441474567
1,2,20,"('rows', 6)",1.4003831869760444
1,2,20,"('cols', 2)",1.2278510370890057
1,2,20,"('cols', 4)",1.35559759824948
1,2,20,"('cols', 6)",1.341885749132959
1,2,25,"('random', 0.9)",1.5121070011499704
1,2,25,"('random', 0.8)",1.5350066476938702
1,2,25,"('random', 0.7)",1.5432779326637514
1,2,25,"('random', 0.6)",1.4938091017148434
1,2,25,"('rows', 2)",1.3121387349983358
1,2,25,"('rows', 4)",1.20806598358134
1,2,25,"('rows', 6)",1.4017038295766826
1,2,25,"('cols', 2)",1.2268491885870094
1,2,25,"('cols', 4)",1.3538646881808658
1,2,25,"('cols', 6)",1.34116173762052
1,2,30,"('random', 0.9)",1.5491663850811357
1,2,30,"('random', 0.8)",1.5521922986733259
1,2,30,"('random', 0.7)",1.5738125959230835
1,2,30,"('random', 0.6)",1.526126100838611
1,2,30,"('rows', 2)",1.3134002518626862
1,2,30,"('rows', 4)",1.2079099515548004
1,2,30,"('rows', 6)",1.4027208469113803
1,2,30,"('cols', 2)",1.2266695066429216
1,2,30,"('cols', 4)",1.3503863850108264
1,2,30,"('cols', 6)",1.3409808606705136
1,5,5,"('random', 0.9)",1.337720266997971
1,5,5,"('random', 0.8)",1.4007153066151503
1,5,5,"('random', 0.7)",1.3864471141688852
1,5,5,"('random', 0.6)",1.3668900119526572
1,5,5,"('rows', 2)",1.3058976168175238
1,5,5,"('rows', 4)",1.209346371096441
1,5,5,"('rows', 6)",1.3860939281522258
1,5,5,"('cols', 2)",1.222758103245785
1,5,5,"('cols', 4)",1.3283259524046684
1,5,5,"('cols', 6)",1.3246437950088765
1,5,10,"('random', 0.9)",1.3656287853172218
1,5,10,"('random', 0.8)",1.4170257560748272
1,5,10,"('random', 0.7)",1.4140477204518447
1,5,10,"('random', 0.6)",1.4031842334099667
