1,2,3,"('random', 0.9)",1.3309983044849591
1,2,4,"('random', 0.9)",1.3292349500234357
1,2,5,"('random', 0.9)",1.329893871547466
1,2,6,"('random', 0.9)",1.3316692843700944
1,2,7,"('random', 0.9)",1.333806918707441
1,2,8,"('random', 0.9)",1.3359548431224615
1,2,9,"('random', 0.9)",1.3380979539159419
1,2,10,"('random', 0.9)",1.3405493844161454
1,5,3,"('random', 0.9)",1.3362754968878774
1,5,4,"('random', 0.9)",1.3357191622956384
1,5,5,"('random', 0.9)",1.337720266997971
1,5,6,"('random', 0.9)",1.3411217071450643
1,5,7,"('random', 0.9)",1.3454169459479983
1,5,8,"('random', 0.9)",1.3506012003727894
1,5,9,"('random', 0.9)",1.357087289046566
1,5,10,"('random', 0.9)",1.3656287853172218
1,10,3,"('random', 0.9)",1.3315629282434251
1,10,4,"('random', 0.9)",1.3299801627357921
1,10,5,"('random', 0.9)",1.331226817338218
1,10,6,"('random', 0.9)",1.3339709953409093
1,10,7,"('random', 0.9)",1.3376465269604043
1,10,8,"('random', 0.9)",1.3423380635533597
1,10,9,"('random', 0.9)",1.348640562319682
1,10,10,"('random', 0.9)",1.3574334337321108
1,20,3,"('random', 0.9)",1.3501209868266855
1,20,4,"('random', 0.9)",1.3527751690988241
1,20,5,"('random', 0.9)",1.35918762530222
1,20,6,"('random', 0.9)",1.36850573127933
1,20,7,"('random', 0.9)",1.3808521049318276
1,20,8,"('random', 0.9)",1.3969099570547165
1,20,9,"('random', 0.9)",1.4173010251504925
1,20,10,"('random', 0.9)",1.4419088768871333
1,40,3,"('random', 0.9)",1.3490378622759422
1,40,4,"('random', 0.9)",1.3609464064329522
1,40,5,"('random', 0.9)",1.3768173322174573
1,40,6,"('random', 0.9)",1.3955671774961107
1,40,7,"('random', 0.9)",1.4169162415228749
1,40,8,"('random', 0.9)",1.4402733258537348
1,40,9,"('random', 0.9)",1.4643040965454723
1,40,10,"('random', 0.9)",1.4873185309423895
2,2,3,"('random', 0.9)",1.3309983044849591
2,2,4,"('random', 0.9)",1.3292349500234357
2,2,5,"('random', 0.9)",1.329893871547466
2,2,6,"('random', 0.9)",1.3316692843700944
2,2,7,"('random', 0.9)",1.333806918707441
2,2,8,"('random', 0.9)",1.3359548431224615
2,2,9,"('random', 0.9)",1.3380979539159419
2,2,10,"('random', 0.9)",1.3405493844161454
2,5,3,"('random', 0.9)",1.3362754968878774
2,5,4,"('random', 0.9)",1.3357191622956384
2,5,5,"('random', 0.9)",1.337720266997971
2,5,6,"('random', 0.9)",1.3411217071450643
2,5,7,"('random', 0.9)",1.3454169459479983
2,5,8,"('random', 0.9)",1.3506012003727894
2,5,9,"('random', 0.9)",1.357087289046566
2,5,10,"('random', 0.9)",1.3656287853172218
2,10,3,"('random', 0.9)",1.3315629282434251
2,10,4,"('random', 0.9)",1.3299801627357921
2,10,5,"('random', 0.9)",1.331226817338218
2,10,6,"('random', 0.9)",1.3339709953409093
2,10,7,"('random', 0.9)",1.3376465269604043
2,10,8,"('random', 0.9)",1.3423380635533597
2,10,9,"('random', 0.9)",1.348640562319682
2,10,10,"('random', 0.9)",1.3574334337321108
2,20,3,"('random', 0.9)",1.3501209868266855
2,20,4,"('random', 0.9)",1.3527751690988241
2,20,5,"('random', 0.9)",1.35918762530222
