ID,Rating,Oranges1,Apples1,Watermelons1,Bananas1,Eggplants1,Tomatoes1,Potatoes1,Bread1,Oats1,Rice1,Fish1,Eggs1,Chicken1,Olive Oil1,Soy Bean Paste1,Beef1,Milk1,"Yogurt (low fat, plain)1",Cheese Balls1
Gal Gadot,Requested,1,3,3,3,3,1,7,3,3,3,3,3,3,3,3,3,2,3,1
Gal Gadot,Allocation,1.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0
Gal Gadot,Rate Quantity,,,,,,,,,,,,,,,,,,,
Gal Gadot,Rate Item,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Requested,2,5,2,4,3,1,3,2,1,2,2,3,2,2,2,3,2,2,3
Anonymous Narwhal,Allocation,2.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,-0.0
Anonymous Narwhal,Rate Quantity,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Rate Item,,,,,,,,,,,,,,,,,,,
csk6snj,Requested,3,2,3,3,3,2,1,1,1,2,3,6,2,1,3,3,3,3,3
csk6snj,Allocation,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,3.0
csk6snj,Rate Quantity,,,,,,,,,,,,,,,,,,,
csk6snj,Rate Item,,,,,,,,,,,,,,,,,,,
blacklodge,Requested,2,1,1,4,1,2,1,2,4,4,1,4,4,3,3,3,3,4,4
blacklodge,Allocation,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,0.0,2.0
blacklodge,Rate Quantity,,,,,,,,,,,,,,,,,,,
blacklodge,Rate Item,,,,,,,,,,,,,,,,,,,
nm2fs,Requested,3,3,1,5,2,5,5,2,1,1,1,6,1,1,3,1,1,1,1
nm2fs,Allocation,3.0,3.0,1.0,1.0,2.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
nm2fs,Rate Quantity,,,,,,,,,,,,,,,,,,,
nm2fs,Rate Item,,,,,,,,,,,,,,,,,,,
ae3xd,Requested,2,6,3,3,3,3,5,3,3,7,6,5,10,3,3,3,7,2,3
ae3xd,Allocation,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,0.0,3.0,5.0,0.0,3.0,3.0,3.0,1.0,2.0,3.0
ae3xd,Rate Quantity,,,,,,,,,,,,,,,,,,,
ae3xd,Rate Item,,,,,,,,,,,,,,,,,,,
znp3ev,Requested,6,8,8,4,5,5,5,7,5,5,10,8,6,7,3,8,7,6,6
znp3ev,Allocation,6.0,8.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,6.0,6.0,3.0,3.0,1.0,7.0,6.0,6.0
znp3ev,Rate Quantity,,,,,,,,,,,,,,,,,,,
znp3ev,Rate Item,,,,,,,,,,,,,,,,,,,
zqz8ae,Requested,6,6,6,7,4,7,7,4,3,5,5,5,8,6,2,8,8,3,7
zqz8ae,Allocation,6.0,6.0,6.0,7.0,4.0,7.0,7.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,0.0,1.0,3.0,0.0
zqz8ae,Rate Quantity,,,,,,,,,,,,,,,,,,,
zqz8ae,Rate Item,,,,,,,,,,,,,,,,,,,
ak3gj,Requested,7,5,3,3,3,7,5,5,7,7,7,10,10,1,3,12,5,5,3
ak3gj,Allocation,3.0,5.0,3.0,3.0,3.0,7.0,5.0,5.0,5.0,7.0,6.0,0.0,2.0,1.0,3.0,0.0,5.0,5.0,3.0
ak3gj,Rate Quantity,,,,,,,,,,,,,,,,,,,
ak3gj,Rate Item,,,,,,,,,,,,,,,,,,,
