ID,Oranges,Apples,Watermelons,Bananas,Eggplants,Tomatoes,Potatoes,Bread,Oats,Rice,Fish,Eggs,Chicken,Olive Oil,Soy Bean Paste,Beef,Milk,"Yogurt (low fat, plain)",Cheese Balls,AllocationTime
Gal Gadot,1.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,1
Anonymous Narwhal,2.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1
csk6snj,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1
blacklodge,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,0.0,0.0,1
nm2fs,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
ae3xd,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,2.0,3.0,3.0,3.0,0.0,2.0,3.0,1
znp3ev,6.0,8.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,8.0,6.0,0.0,3.0,0.0,7.0,4.0,6.0,1
zqz8ae,6.0,6.0,6.0,7.0,4.0,7.0,7.0,4.0,4.0,5.0,5.0,5.0,1.0,6.0,2.0,0.0,0.0,4.0,1.0,1
ak3gj,0.0,5.0,1.0,1.0,1.0,7.0,5.0,5.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,1.0,1
pex7ps,4.0,5.0,4.0,3.0,1.0,1.0,4.0,0.0,1.0,7.0,6.0,6.0,5.0,1.0,3.0,0.0,2.0,-0.0,5.0,1
Gal Gadot,1.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,2
Anonymous Narwhal,0.0,4.0,-0.0,4.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,2
csk6snj,-0.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,2.0,2.0,2.0,-0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
blacklodge,0.0,3.0,0.0,4.0,-0.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,3.0,2
nm2fs,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,-0.0,0.0,3.0,3.0,-0.0,0.0,3.0,0.0,1.0,3.0,3.0,2
ae3xd,3.0,3.0,2.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,-0.0,3.0,3.0,0.0,3.0,1.0,3.0,2
znp3ev,6.0,2.0,0.0,3.0,6.0,4.0,6.0,6.0,7.0,6.0,-0.0,6.0,3.0,6.0,3.0,5.0,0.0,0.0,0.0,2
zqz8ae,2.0,-0.0,4.0,2.0,5.0,7.0,2.0,0.0,2.0,4.0,0.0,4.0,0.0,2.0,4.0,4.0,0.0,3.0,4.0,2
ak3gj,4.0,5.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2
pex7ps,0.0,5.0,4.0,4.0,1.0,3.0,0.0,1.0,3.0,2.0,4.0,5.0,4.0,1.0,1.0,0.0,3.0,3.0,5.0,2
Gal Gadot,3.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,-0.0,0.0,0.0,3
Anonymous Narwhal,1.0,3.0,4.0,2.0,0.0,4.0,0.0,2.0,1.0,0.999999999999999,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3
csk6snj,-0.0,0.0,2.0,4.0,1.0,2.0,4.0,2.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3
blacklodge,0.0,0.0,2.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3
nm2fs,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0000000000000009,3.0,3.0,-0.0,0.0,3.0,0.0,3.0,3.0,1.0,3
ae3xd,2.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,-0.0,-0.0,3.0,1.0,3.0,3
znp3ev,5.0,0.0,7.0,3.0,6.0,5.0,7.0,4.0,6.0,6.0,1.0,8.0,5.0,0.0,4.0,5.0,3.0,4.0,-0.0,3
zqz8ae,2.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,3
ak3gj,0.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,5.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3
pex7ps,4.0,6.0,5.0,4.0,3.0,3.0,0.0,0.0,4.0,5.0,0.0,2.0,0.0,4.0,-0.0,5.0,3.0,4.0,2.0,3
Gal Gadot,0.0,0.0,1.0,2.0,0.0,4.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,4
Anonymous Narwhal,-0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,3.0,2.0,-0.0,2.0,2.0,2.0,2.0,2.0,4
csk6snj,2.0,2.0,-0.0,0.0,-0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4
blacklodge,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,-0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,4
nm2fs,3.0,3.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,4
ae3xd,0.0,2.0,0.0,2.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,3.0,4
