ID,Oranges,Apples,Watermelons,Bananas,Eggplants,Tomatoes,Potatoes,Bread,Oats,Rice,Fish,Eggs,Chicken,Olive Oil,Soy Bean Paste,Beef,Milk,"Yogurt (low fat, plain)",Cheese Balls,AllocationTime
Gal Gadot,2.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,13
Anonymous Narwhal,2.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,13
csk6snj,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,13
blacklodge,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,0.0,1.0,3.0,3.0,13
nm2fs,3.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,2.0,3.0,2.0,3.0,3.0,-0.0,3.0,3.0,3.0,13
ae3xd,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,-0.0,0.0,0.0,1.0,1.0,0.0,13
znp3ev,4.0,4.0,0.0,0.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,5.0,5.0,3.0,13
zqz8ae,5.0,5.0,5.0,4.0,4.0,5.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,13
ak3gj,1.0,0.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,1.0,0.0,-0.0,2.0,1.0,4.0,1.0,4.0,-0.0,4.0,13
pex7ps,3.0,3.0,2.0,4.0,0.0,3.0,4.0,0.0,4.0,4.0,-0.0,2.0,4.0,0.0,0.0,2.0,6.0,2.0,2.0,13
