ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AllocationTime
Gal Gadot,1.0,3.0,3.0,3.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1
Anonymous Narwhal,2.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1
csk6snj,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,6.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1
blacklodge,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,1
nm2fs,3.0,3.0,1.0,5.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1
ae3xd,2.0,6.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,7.0,6.0,5.0,10.0,3.0,3.0,3.0,7.0,2.0,3.0,1
Gal Gadot,1.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,6.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,2
Anonymous Narwhal,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2
csk6snj,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,6.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2
blacklodge,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2
nm2fs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2
ae3xd,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2
Gal Gadot,3.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,3
Anonymous Narwhal,4.0,4.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3
csk6snj,4.0,5.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,3
blacklodge,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3
nm2fs,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
ae3xd,2.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,7.0,5.0,3.0,7.0,1.0,3.0,3.0,3.0,1.0,3.0,3
Gal Gadot,3.0,4.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,9.0,4.0,4.0,4
Anonymous Narwhal,4.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4
