id,day,Apples,Bananas,Beef,Bread,Cheese Balls,Chicken,Eggplants,Eggs,Fish,Milk,Oats,Olive Oil,Oranges,Potatoes,Rice,Soy Bean Paste,Tomatoes,Watermelons,"Yogurt (low fat, plain)"
Anonymous Narwhal,0,-0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
Gal Gadot,0,0.0,3.0,3.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0
ae3xd,0,6.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,6.0,5.0,0.0,0.0,2.0,5.0,-0.0,0.0,0.0,0.0,2.0
ak3gj,0,5.0,0.0,0.0,5.0,0.0,1.0000000000000009,0.0,9.0,2.0,5.0,7.0,1.0,7.0,5.0,7.0,0.0,7.0,0.0,5.0
blacklodge,0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0
csk6snj,0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
nm2fs,0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0
pex7ps,0,5.0,3.0,7.0,6.0,6.0,5.0,1.0,6.0,1.0,2.0,1.0,1.0,0.0,3.0,5.0,2.0,1.0,4.0,3.0
znp3ev,0,5.0,4.0,5.0,1.0,6.0,6.0,5.0,8.0,0.0,7.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,8.0,6.0
zqz8ae,0,6.0,7.0,-0.0,4.0,6.0,2.999999999999999,4.0,5.0,5.0,0.0,3.0,6.0,6.0,7.0,5.0,2.0,7.0,6.0,3.0
Anonymous Narwhal,1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0
Gal Gadot,1,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,5.0
ae3xd,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ak3gj,1,5.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0,0.0,3.0,1.0,1.0,5.0,5.0,7.0,0.0,7.0,0.0,5.0
blacklodge,1,3.0,3.0,3.0,2.0,2.0,0.0,3.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0
csk6snj,1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
