id,day,Apples,Bananas,Beef,Bread,Cheese Balls,Chicken,Eggplants,Eggs,Fish,Milk,Oats,Olive Oil,Oranges,Potatoes,Rice,Soy Bean Paste,Tomatoes,Watermelons,"Yogurt (low fat, plain)"
blacklodge,0,1,3,2,2,0,2,1,4,1,2,3,0,2,1,3,0,2,1,0
Anonymous Narwhal,0,5,4,0,2,0,2,0,0,2,2,1,1,1,3,2,1,1,1,2
Gal Gadot,0,0,3,3,3,1,2,3,0,3,2,0,3,1,7,3,2,1,0,0
pex7ps,0,5,3,7,6,6,5,1,6,7,2,1,1,7,8,7,2,1,4,3
znp3ev,0,8,4,6,7,6,6,5,8,7,7,5,7,6,5,5,3,5,8,6
nm2fs,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae3xd,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqz8ae,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csk6snj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ak3gj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ak3gj,1,5,0,10,7,0,10,0,8,7,3,5,1,8,5,7,0,7,0,5
nm2fs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae3xd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklodge,1,3,3,3,2,2,3,3,3,2,2,3,2,3,1,2,2,3,2,2
csk6snj,1,0,0,1,0,0,2,0,6,0,0,0,1,0,0,2,0,0,0,0
zqz8ae,1,7,7,1,6,4,5,5,3,6,7,2,10,2,2,4,2,7,4,2
Anonymous Narwhal,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
znp3ev,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pex7ps,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Gadot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqz8ae,2,6,7,10,2,10,10,3,10,10,10,10,10,3,6,2,6,10,4,3
pex7ps,2,6,8,6,7,2,7,3,2,9,3,4,2,8,7,5,7,3,5,8
ak3gj,2,4,0,6,8,0,2,0,6,3,0,1,0,0,0,0,0,0,0,0
csk6snj,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anonymous Narwhal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm2fs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
znp3ev,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae3xd,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklodge,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Gadot,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklodge,3,2,3,0,0,0,2,2,2,2,0,1,0,2,2,2,2,2,0,2
ae3xd,3,0,0,0,0,0,0,0,0,0,2,4,0,0,2,2,0,0,0,0
zqz8ae,3,10,4,7,10,10,7,10,5,10,10,7,10,10,3,7,10,7,10,3
Anonymous Narwhal,3,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
pex7ps,3,6,6,4,5,5,8,4,4,0,0,0,0,0,0,0,0,0,0,0
nm2fs,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Gadot,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ak3gj,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csk6snj,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
znp3ev,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
znp3ev,4,7,5,7,6,7,6,6,7,7,7,7,6,7,8,6,5,4,7,7
ak3gj,4,6,0,7,7,0,10,0,7,5,4,3,1,7,6,7,0,4,0,5
pex7ps,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csk6snj,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anonymous Narwhal,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm2fs,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklodge,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqz8ae,4,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae3xd,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Gadot,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ak3gj,5,5,0,8,7,0,10,0,9,7,4,4,1,7,5,7,0,4,0,5
znp3ev,5,6,5,2,8,10,6,6,7,6,6,8,7,3,7,6,3,4,7,6
nm2fs,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklodge,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Gadot,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csk6snj,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae3xd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqz8ae,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pex7ps,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anonymous Narwhal,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ak3gj,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csk6snj,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ae3xd,6,1,0,0,2,0,4,0,2,4,1,0,1,1,3,7,0,3,0,1
Anonymous Narwhal,6,0,3,0,0,0,0,4,0,4,1,0,3,3,0,2,2,4,1,2
pex7ps,6,1,8,1,4,7,9,1,7,1,7,2,6,2,2,5,6,2,5,6
blacklodge,6,1,4,0,1,0,1,2,0,1,1,1,0,1,0,4,0,0,0,0
znp3ev,6,10,6,8,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Gadot,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm2fs,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqz8ae,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae3xd,7,0,0,0,0,0,1,0,2,1,0,0,0,2,4,0,0,0,0,0
zqz8ae,7,5,10,10,9,2,6,10,2,7,9,8,3,9,10,7,8,10,10,9
pex7ps,7,4,7,1,2,3,4,1,5,0,0,0,0,0,0,0,0,0,0,0
ak3gj,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklodge,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
znp3ev,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Gadot,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anonymous Narwhal,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm2fs,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csk6snj,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqz8ae,8,5,6,10,9,9,9,4,8,10,10,6,9,3,10,7,6,8,5,9
pex7ps,8,8,8,1,7,6,2,7,8,2,8,7,6,5,8,5,8,4,8,4
ak3gj,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anonymous Narwhal,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Gadot,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
znp3ev,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae3xd,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csk6snj,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklodge,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm2fs,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ak3gj,9,7,0,9,6,0,10,4,8,7,4,5,1,7,4,7,0,4,0,5
csk6snj,9,0,1,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
znp3ev,9,7,7,4,8,5,8,7,7,5,6,6,4,3,1,7,0,4,8,7
pex7ps,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm2fs,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae3xd,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anonymous Narwhal,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqz8ae,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Gadot,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklodge,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqz8ae,10,8,4,10,6,3,10,1,9,10,4,9,3,2,1,7,2,7,5,5
znp3ev,10,9,7,5,6,8,6,5,7,2,8,8,6,6,7,4,5,5,8,6
nm2fs,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Gadot,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae3xd,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ak3gj,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anonymous Narwhal,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pex7ps,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklodge,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csk6snj,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pex7ps,11,5,2,3,4,7,8,4,4,3,1,3,2,3,2,6,7,3,3,6
Gal Gadot,11,1,2,0,0,2,2,1,2,1,0,2,0,1,0,0,0,2,3,1
ae3xd,11,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0,5,0,0
Anonymous Narwhal,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm2fs,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
znp3ev,11,9,8,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csk6snj,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklodge,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqz8ae,11,2,4,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ak3gj,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
