id,day,Apples,Bananas,Beef,Bread,Cheese Balls,Chicken,Eggplants,Eggs,Fish,Milk,Oats,Olive Oil,Oranges,Potatoes,Rice,Soy Bean Paste,Tomatoes,Watermelons,"Yogurt (low fat, plain)"
Gal Gadot,0,3,3,4,7,5,0,0,0,0,7,0,1,0,6,3,5,3,0,1
Anonymous Narwhal,0,2,0,1,1,2,0,3,1,1,1,1,1,3,2,3,1,5,2,2
csk6snj,0,1,2,0,1,0,5,0,6,0,0,2,2,3,1,2,0,0,0,0
kem5en,0,5,6,1,1,1,2,2,2,2,1,3,3,2,4,5,1,3,2,2
qwp4pk,0,6,5,5,7,3,7,4,6,5,4,4,4,5,5,3,2,4,3,5
Isobel Regina,0,5,3,2,2,2,5,4,4,4,4,3,3,5,0,3,2,7,7,2
afv9x,0,4,6,4,3,0,7,0,6,7,2,3,3,0,4,4,0,4,0,2
sv6cw,0,7,7,1,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7
Gal Gadot,1,0,2,0,4,7,0,0,4,2,0,2,6,0,2,5,5,7,0,0
Anonymous Narwhal,1,2,2,0,0,0,1,1,1,0,0,1,0,2,1,2,0,2,1,1
csk6snj,1,1,1,0,0,0,4,0,5,0,0,1,1,2,0,2,0,0,0,0
kem5en,1,5,7,1,1,1,3,3,6,2,1,5,4,3,4,5,2,2,1,2
qwp4pk,1,5,4,5,5,4,5,4,5,5,3,4,5,4,3,3,1,5,3,5
Isobel Regina,1,5,3,5,5,1,0,3,6,1,1,1,4,3,3,1,7,5,7,3
afv9x,1,4,5,3,0,0,6,0,4,5,2,2,0,0,3,2,0,3,0,1
sv6cw,1,7,7,1,7,7,1,7,7,1,7,0,1,7,7,7,7,7,7,7
Gal Gadot,2,0,2,7,3,0,2,0,7,6,3,4,0,0,3,2,0,7,6,7
Anonymous Narwhal,2,2,1,1,1,0,1,0,1,0,0,0,1,2,1,1,1,2,0,1
csk6snj,2,0,1,0,2,0,3,0,3,2,1,1,1,1,0,2,0,0,0,0
kem5en,2,2,2,1,4,1,2,2,6,2,2,3,3,1,5,3,1,2,4,3
qwp4pk,2,2,2,4,3,1,3,2,2,1,2,4,1,2,2,1,1,4,4,2
Isobel Regina,2,2,7,5,6,6,4,2,5,7,4,3,3,5,2,6,3,5,4,7
afv9x,2,1,3,3,2,0,3,1,2,3,1,2,2,3,2,1,0,1,0,1
sv6cw,2,7,7,1,7,7,1,7,7,1,7,7,1,7,7,7,7,7,7,7
Gal Gadot,3,3,2,0,0,0,6,7,0,0,3,4,3,2,0,3,5,5,0,2
Anonymous Narwhal,3,3,1,0,0,0,2,1,0,0,2,1,1,2,0,1,0,4,1,1
csk6snj,3,2,4,0,3,0,2,0,6,2,0,2,2,0,0,1,0,1,0,0
kem5en,3,7,3,1,1,2,3,2,6,1,1,4,4,3,3,3,0,3,0,2
qwp4pk,3,2,0,1,3,1,4,1,3,2,2,2,0,2,2,0,0,3,1,2
Isobel Regina,3,3,3,5,2,5,4,1,7,4,5,7,4,3,1,2,6,6,2,6
